date,runup,drawdown,z
2020-03-06,0.1290344355784076,0.015769711173925848,0.8910962736385053
2020-03-09,0.10343777599723382,0.041366370755099635,0.7143288249482881
2020-03-10,0.11774376084478425,0.027060385907549195,0.813124233563338
2020-03-11,0.11057425657249075,0.031530564244757676,0.7781175609425168
2020-03-12,0.09613179840552849,0.04597302241171995,0.676485131557621
2020-03-13,0.0831548610087078,0.05894995980854061,0.5851656582125934
2020-03-16,0.05774944871862801,0.08435537209862026,0.40638627448744896
2020-03-17,0.05539143422852131,0.08671338658872693,0.3897927875350311
2020-03-18,0.03709895731455613,0.09617338899779701,0.2783695068113121
2020-03-19,0.032967718311174406,0.10030462800117888,0.24737103550279851
2020-03-20,0.04697977493439281,0.08629257137796022,0.3525095508132301
2020-03-23,0.015193038651300204,0.118079307661053,0.11399993375738998
2020-03-24,0.033860914812062395,0.0994114315002908,0.2540730747900383
2020-03-25,0.05298246045577306,0.08028988585658009,0.39755029397919484
2020-03-26,0.045373970927890826,0.0878983753844625,0.3404605095009497
2020-03-27,0.04768125399486059,0.08559109231749262,0.35777305130585024
2020-03-30,0.03617383058999385,0.09709851572235934,0.271427881259121
2020-03-31,0.015981820610970993,0.10209748705008195,0.13534819036072657
2020-04-01,0.010203330652989569,0.10787597700806359,0.08641082722366773
2020-04-02,0.02533831559054526,0.09274099207050787,0.2145872642078741
2020-04-03,0.01745049565214375,0.10062881200890922,0.14778622942332498
2020-04-07,0.038454875396131474,0.07962443226492144,0.3256698921924266
2020-04-08,0.040779687984456345,0.07729961967659678,0.34535846112440394
2020-04-09,0.04452456554561335,0.07355474211543961,0.37707339607225054
2020-04-10,0.03049860983173318,0.08758069782931978,0.2582891993174582
2020-04-13,0.025936365578588725,0.09214294208246446,0.21965208038853937
2020-04-14,0.0389369729594204,0.07914233470163257,0.3297527206984403
2020-04-15,0.031572831425074575,0.08650647623597833,0.26738665775128445
2020-04-16,0.03277635180698177,0.08530295585407127,0.2775791326712922
2020-04-17,0.034164645580472996,0.08391466208058003,0.2893364320744724
2020-04-20,0.037379262756567735,0.08070004490448536,0.3165606531490258
2020-04-21,0.03151434010841443,0.08656496755263855,0.2668913015553618
2020-04-22,0.03684779689830827,0.08123151076274479,0.3120597302626465
2020-04-23,0.034822931376963615,0.08325637628408943,0.29491137835024345
2020-04-24,0.022293359596504796,0.09578594806454821,0.18879988406180317
2020-04-27,0.02076537278564022,0.09731393487541273,0.17585954048144736
2020-04-28,0.003866672859811723,0.11421263480124134,0.03274640524579477
2020-04-29,0.009377089042922629,0.10870221861813038,0.07941348258781793
2020-04-30,0.023201114251466693,0.09487819340958631,0.19648755324739506
2020-05-06,0.02796481282212749,0.08587658410498016,0.24564713344156594
2020-05-07,0.023306143962852764,0.07924457823063141,0.22726455225620612
2020-05-08,0.0313516681856703,0.07119905400781396,0.3057186484412909
2020-05-11,0.031897275916870575,0.06348394200432005,0.3344188364550547
2020-05-12,0.026107171330968043,0.05483158842326013,0.3225546253765548
2020-05-13,0.0288401201699498,0.0391217021874576,0.42435766389961166
2020-05-14,0.020034545622086314,0.02449001992352716,0.44996611143935356
2020-05-15,0.021139492151895516,0.023385073393717964,0.47478267093339804
2020-05-18,0.020104248412657726,0.024420317132955602,0.4515316020784496
2020-05-19,0.027915760082783497,0.01660880546282998,0.6269743396863697
2020-05-20,0.024331623585520826,0.020192941960092664,0.5464763841568343
2020-05-21,0.020654405715611814,0.02387015983000159,0.46388786645098895
