date,SMB,QMJ
2015-11-16,0.07492700000000001,-0.009908000000000007
2015-11-17,0.091421,-0.010117000000000008
2015-11-18,0.081595,-0.0015310000000000067
2015-11-19,0.105495,-0.016645000000000007
2015-11-20,0.095933,-0.009084000000000007
2015-11-23,0.08744600000000001,-0.011052000000000008
2015-11-24,0.082762,-0.011204000000000007
2015-11-25,0.089604,-0.004820000000000007
2015-11-26,0.102456,-0.009341000000000006
2015-11-27,0.095283,-0.009151000000000006
2015-11-30,0.089652,-0.0006870000000000053
2015-12-01,0.102274,-0.00029100000000000653
2015-12-02,0.096687,-0.0027860000000000064
2015-12-03,0.056119,0.005601999999999993
2015-12-04,0.080795,0.011493999999999992
2015-12-07,0.09259,0.007042999999999994
2015-12-08,0.105022,-0.0027870000000000065
2015-12-09,0.094947,0.010086999999999994
