date,000312.OF,002236.OF,003194.OF,004195.OF,004409.OF,004744.OF,005562.OF,164304.OF,690008.OF,,-0.325910697,0.463554316
2016/3/9,-0.087422683,,,,,,,-0.267764449,-0.362078454,,,
2016/3/10,-0.09144865,,,,,,,-0.286231429,-0.408702534,,,
2016/3/11,-0.084931779,,,,,,,-0.281240634,-0.420660581,,,
2016/3/14,-0.082192852,,,,,,,-0.282294765,-0.421088628,,,
2016/3/15,-0.079476608,,,,,,,-0.28331456,-0.41927901,,,
2016/3/16,-0.132597218,,,,,,,-0.312039977,-0.36391536,,,
2016/3/17,-0.162956859,,,,,,,-0.337206734,-0.386331726,,,
2016/3/18,-0.167666778,,,,,,,-0.325506625,-0.391757522,,,
2016/3/21,-0.189211104,,,,,,,-0.29291875,-0.33480769,,,
2016/3/22,-0.213003269,,,,,,,-0.248293386,-0.302218232,,,
2016/3/23,-0.212952107,,,,,,,-0.248172188,-0.301586702,,,
2016/3/24,-0.23352623,,,,,,,-0.234410138,-0.337611565,,,
2016/3/25,-0.238361635,,,,,,,-0.215563242,-0.331706396,,,
2016/3/28,-0.237770315,,,,,,,-0.21055519,-0.308501842,,,
2016/3/29,-0.237645865,,,,,,,-0.193428603,-0.326767172,,,
2016/3/30,-0.254109032,,,,,,,-0.167465738,-0.363821909,,,
2016/3/31,-0.253996067,,,,,,,-0.168248198,-0.353559054,,,
2016/4/1,-0.263763763,,,,,,,-0.162394446,-0.38086955,,,
2016/4/5,-0.263507283,,,,,,,-0.16216391,-0.378333211,,,
2016/4/6,-0.273498205,,,,,,,-0.152430554,-0.382246996,,,
2016/4/7,-0.284537934,,,,,,,-0.152656632,-0.387768583,,,
2016/4/8,-0.284664927,,,,,,,-0.152455405,-0.386843768,,,
2016/4/11,-0.281764055,,,,,,,-0.152053638,-0.379298548,,,
2016/4/12,-0.284746453,,,,,,,-0.147615709,-0.376953915,,,
2016/4/13,-0.285558052,,,,,,,-0.147918827,-0.36609486,,,
2016/4/14,-0.274320581,,,,,,,-0.151664113,-0.290607809,,,
2016/4/15,-0.277752751,,,,,,,-0.154024894,-0.286530566,,,
2016/4/18,-0.279250584,,,,,,,-0.148071211,-0.295252379,,,
2016/4/19,-0.279679577,,,,,,,-0.130632558,-0.292287301,,,
2016/4/20,-0.326296973,,,,,,,-0.133596181,-0.303887331,,,
2016/4/21,-0.373676278,,,,,,,-0.125345234,-0.2743381,,,
2016/4/22,-0.373292936,,,,,,,-0.132227483,-0.314796854,,,
2016/4/25,-0.372914334,,,,,,,-0.137045666,-0.323401366,,,
2016/4/26,-0.368414296,,,,,,,-0.134530092,-0.31894122,,,
2016/4/27,-0.374161327,,,,,,,-0.139057556,-0.322270251,,,
2016/4/28,-0.368920139,,,,,,,-0.154696356,-0.303203661,,,
2016/4/29,-0.368360562,,,,,,,-0.154899766,-0.307501156,,,
2016/5/3,-0.366606455,,,,,,,-0.15057195,-0.318053785,,,
2016/5/4,-0.364852138,,,,,,,-0.152915252,-0.274580847,,,
2016/5/5,-0.364987805,,,,,,,-0.150221688,-0.251008422,,,
2016/5/6,-0.354264633,,,,,,,-0.174722701,-0.255388604,,,
2016/5/9,-0.346931408,,,,,,,-0.174513625,-0.258101663,,,
2016/5/10,-0.34431501,,,,,,,-0.174087311,-0.256673005,,,
2016/5/11,-0.344258652,,,,,,,-0.175661973,-0.25619305,,,
2016/5/12,-0.344849727,,,,,,,-0.167176324,-0.244052769,,,
2016/5/13,-0.333296356,,,,,,,-0.17686132,-0.243365925,,,
2016/5/16,-0.33346634,,,,,,,-0.172687858,-0.244908626,,,
2016/5/17,-0.336523603,,,,,,,-0.161133183,-0.245227573,,,
2016/5/18,-0.32793129,,,,,,,-0.201276428,-0.19510333,,,
2016/5/19,-0.324791787,,,,,,,-0.198733344,-0.125883128,,,
2016/5/20,-0.325169614,,,,,,,-0.198530601,-0.133207098,,,
2016/5/23,-0.322618845,,,,,,,-0.20473223,-0.133310816,,,
